Step per run,Epoch,Validation loss,Training Loss,Validation accuracy,Training Accuracy,,,
 279s 2s/step ,5,0.6091,0.6155,0.7002,0.6738,,-0.0064,-0.0264
 275s 2s/step ,10,0.5381,0.547,0.7431,0.7215,,0.0089,-0.0216
 278s 2s/step ,15,0.5006,0.4995,0.786,0.7424,,-0.0011,-0.0436
 289s 3s/step ,20,0.4436,0.4235,0.8122,0.7957,,-0.0201,-0.0165
 275s 2s/step ,25,0.4203,0.4018,0.8075,0.8096,,-0.0185,0.0021
 278s 2s/step ,30,0.3425,0.3568,0.8548,0.8354,,0.0143,-0.0194
 275s 2s/step ,35,0.3473,0.3567,0.8393,0.8362,,0.0094,-0.0031
 279s 2s/step ,40,0.3937,0.3386,0.8075,0.8451,,-0.0551,0.0376
 281s 2s/step ,45,0.4262,0.3445,0.7868,0.844,,-0.0817,0.0572
 281s 2s/step ,50,0.4292,0.3278,0.7851,0.8476,,-0.1014,0.0625
 284s 3s/step ,55,0.4024,0.3494,0.805,0.8412,,-0.053,0.0362
 277s 2s/step ,60,0.379,0.2746,0.8346,0.879,,-0.1044,0.0444
 275s 2s/step ,65,0.3406,0.2949,0.8399,0.8698,,-0.0457,0.0299
 283s 3s/step ,70,0.3477,0.2945,0.8363,0.8673,,-0.0532,0.031
 296s 3s/step ,75,0.3029,0.2637,0.865,0.884,,-0.0392,0.019
 276s 2s/step ,80,0.3514,0.256,0.8443,0.8914,,-0.0954,0.0471
 289s 3s/step ,85,0.3085,0.2727,0.859,0.8795,,-0.0358,0.0205
 283s 3s/step ,90,0.3153,0.2531,0.8556,0.8867,,-0.0622,0.0311
 281s 2s/step ,95,0.2811,0.2347,0.8753,0.8989,,-0.0464,0.0236
 279s 2s/step ,100,0.2924,0.2352,0.8684,0.9026,,-0.0572,0.0342
